rank,ime,drzava,rating,letnik
59,"Almasi, Zoltan",HUN,2689,1976
60,"Grachev, Boris",RUS,2688,1986
61,"Movsesian, Sergei",ARM,2688,1978
62,"Rublevsky, Sergei",RUS,2688,1974
63,"Eljanov, Pavel",UKR,2687,1983
64,"Edouard, Romain",FRA,2686,1990
65,"Sutovsky, Emil",ISR,2684,1977
66,"So, Wesley",PHI,2682,1993
67,"Bu, Xiangzhi",CHN,2682,1985
68,"Zhigalko, Sergei",BLR,2682,1989
69,"Bologan, Viktor",MDA,2681,1971
70,"Yu, Yangyi",CHN,2681,1994
71,"Van Wely, Loek",NED,2678,1972
72,"Nisipeanu, Liviu-Dieter",ROU,2677,1976
73,"Motylev, Alexander",RUS,2677,1979
74,"Sasikiran, Krishnan",IND,2676,1981
75,"Gyimesi, Zoltan",HUN,2674,1977
76,"Laznicka, Viktor",CZE,2674,1988
77,"Kryvoruchko, Yuriy",UKR,2671,1986
78,"Li, Chao b",CHN,2670,1989
79,"Fridman, Daniel",GER,2667,1976
80,"Sokolov, Ivan",NED,2667,1968
81,"Sargissian, Gabriel",ARM,2666,1983
82,"Potkin, Vladimir",RUS,2665,1982
83,"Matlakov, Maxim",RUS,2663,1991
84,"Tiviakov, Sergei",NED,2663,1973
85,"Gareev, Timur",USA,2663,1988
86,"Gupta, Abhijeet",IND,2662,1989
87,"Fedorchuk, Sergey A.",UKR,2661,1981
88,"Gharamian, Tigran",FRA,2661,1984
89,"Ni, Hua",CHN,2660,1983
90,"Onischuk, Alexander",USA,2660,1975
91,"Georgiev, Kiril",BUL,2660,1965
92,"Khenkin, Igor",GER,2659,1968
93,"Zvjaginsev, Vadim",RUS,2658,1976
94,"Nielsen, Peter Heine",DEN,2656,1973
95,"Ragger, Markus",AUT,2655,1988
96,"Dreev, Aleksey",RUS,2654,1969
97,"Istratescu, Andrei",FRA,2654,1975
98,"Smirin, Ilia",ISR,2652,1968
99,"Filippov, Anton",UZB,2652,1986
100,"Kobalia, Mikhail",RUS,2652,1978
1,"Carlsen, Magnus",NOR,2861,1990
2,"Kramnik, Vladimir",RUS,2810,1975
3,"Aronian, Levon",ARM,2802,1982
4,"Radjabov, Teimour",AZE,2793,1987
5,"Caruana, Fabiano",ITA,2781,1992
6,"Karjakin, Sergey",RUS,2780,1990
7,"Anand, Viswanathan",IND,2772,1969
8,"Topalov, Veselin",BUL,2771,1975
9,"Nakamura, Hikaru",USA,2769,1987
10,"Mamedyarov, Shakhriyar",AZE,2766,1985
11,"Grischuk, Alexander",RUS,2764,1983
12,"Morozevich, Alexander",RUS,2758,1977
13,"Ivanchuk, Vassily",UKR,2758,1969
14,"Wang, Hao",CHN,2752,1989
15,"Svidler, Peter",RUS,2747,1976
16,"Gelfand, Boris",ISR,2740,1968
17,"Kamsky, Gata",USA,2740,1974
18,"Gashimov, Vugar",AZE,2737,1986
19,"Leko, Peter",HUN,2735,1979
20,"Jakovenko, Dmitry",RUS,2734,1983
21,"Ponomariov, Ruslan",UKR,2733,1983
22,"Andreikin, Dmitry",RUS,2727,1990
23,"Giri, Anish",NED,2726,1994
24,"Adams, Michael",ENG,2725,1971
25,"Dominguez Perez, Leinier",CUB,2723,1983
26,"Wojtaszek, Radoslaw",POL,2723,1987
27,"Tomashevsky, Evgeny",RUS,2722,1987
28,"Volokitin, Andrei",UKR,2722,1986
29,"Areshchenko, Alexander",UKR,2720,1986
30,"Vachier-Lagrave, Maxime",FRA,2713,1990
31,"Navara, David",CZE,2710,1985
32,"Kasimdzhanov, Rustam",UZB,2709,1979
33,"Ding, Liren",CHN,2709,1992
34,"Malakhov, Vladimir",RUS,2709,1980
35,"Cheparinov, Ivan",BUL,2709,1986
36,"Naiditsch, Arkadij",GER,2708,1985
37,"Shirov, Alexei",LAT,2708,1972
38,"Fressinet, Laurent",FRA,2706,1981
39,"Le, Quang Liem",VIE,2705,1991
40,"Riazantsev, Alexander",RUS,2705,1985
41,"Akopian, Vladimir",ARM,2704,1971
42,"Nepomniachtchi, Ian",RUS,2703,1990
43,"Moiseenko, Alexander",UKR,2703,1980
44,"Bacrot, Etienne",FRA,2703,1983
45,"Berkes, Ferenc",HUN,2702,1985
46,"Wang, Yue",CHN,2702,1987
47,"Jobava, Baadur",GEO,2702,1983
48,"Bruzon Batista, Lazaro",CUB,2701,1982
49,"McShane, Luke J",ENG,2698,1984
50,"Harikrishna, P.",IND,2698,1986
51,"Polgar, Judit",HUN,2696,1976
52,"Efimenko, Zahar",UKR,2696,1985
53,"Vallejo Pons, Francisco",ESP,2694,1982
54,"Vitiugov, Nikita",RUS,2694,1987
55,"Alekseev, Evgeny",RUS,2691,1985
56,"Korobov, Anton",UKR,2690,1985
57,"Short, Nigel D",ENG,2690,1965
58,"Almasi, Zoltan",HUN,2689,1976
59,"Inarkiev, Ernesto",RUS,2688,1985
60,"Yu, Yangyi",CHN,2688,1994
61,"Grachev, Boris",RUS,2688,1986
62,"Movsesian, Sergei",ARM,2688,1978
63,"Rublevsky, Sergei",RUS,2688,1974
64,"Edouard, Romain",FRA,2686,1990
65,"Sutovsky, Emil",ISR,2684,1977
66,"So, Wesley",PHI,2682,1993
67,"Bologan, Viktor",MDA,2681,1971
68,"Van Wely, Loek",NED,2679,1972
69,"Eljanov, Pavel",UKR,2678,1983
70,"Nisipeanu, Liviu-Dieter",ROU,2677,1976
71,"Motylev, Alexander",RUS,2676,1979
72,"Sasikiran, Krishnan",IND,2676,1981
73,"Bu, Xiangzhi",CHN,2675,1985
74,"Li, Chao b",CHN,2674,1989
75,"Gyimesi, Zoltan",HUN,2674,1977
76,"Laznicka, Viktor",CZE,2674,1988
77,"Sokolov, Ivan",NED,2667,1968
78,"Fridman, Daniel",GER,2667,1976
79,"Kryvoruchko, Yuriy",UKR,2666,1986
80,"Sargissian, Gabriel",ARM,2666,1983
81,"Gareev, Timur",USA,2665,1988
82,"Potkin, Vladimir",RUS,2665,1982
83,"Gharamian, Tigran",FRA,2661,1984
84,"Onischuk, Alexander",USA,2660,1975
85,"Khenkin, Igor",GER,2659,1968
86,"Zvjaginsev, Vadim",RUS,2658,1976
87,"Tiviakov, Sergei",NED,2657,1973
88,"Melkumyan, Hrant",ARM,2656,1989
89,"Nielsen, Peter Heine",DEN,2656,1973
90,"Ragger, Markus",AUT,2655,1988
91,"Dreev, Aleksey",RUS,2654,1969
92,"Istratescu, Andrei",FRA,2654,1975
93,"Matlakov, Maxim",RUS,2653,1991
94,"Khismatullin, Denis",RUS,2652,1984
95,"Filippov, Anton",UZB,2652,1986
96,"Kobalia, Mikhail",RUS,2652,1978
97,"Smirin, Ilia",ISR,2652,1968
98,"Mamedov, Rauf",AZE,2651,1988
99,"Zhigalko, Sergei",BLR,2651,1989
100,"Khairullin, Ildar",RUS,2650,1990
101,"Iturrizaga, Eduardo",VEN,2650,1989
102,"Tkachiev, Vladislav",FRA,2650,1973
1,"Carlsen, Magnus",NOR,2872,1990
2,"Kramnik, Vladimir",RUS,2810,1975
3,"Aronian, Levon",ARM,2809,1982
4,"Radjabov, Teimour",AZE,2793,1987
5,"Karjakin, Sergey",RUS,2786,1990
6,"Anand, Viswanathan",IND,2780,1969
7,"Topalov, Veselin",BUL,2771,1975
8,"Nakamura, Hikaru",USA,2767,1987
9,"Mamedyarov, Shakhriyar",AZE,2766,1985
10,"Grischuk, Alexander",RUS,2764,1983
11,"Ivanchuk, Vassily",UKR,2758,1969
12,"Morozevich, Alexander",RUS,2758,1977
13,"Caruana, Fabiano",ITA,2757,1992
14,"Svidler, Peter",RUS,2747,1976
15,"Leko, Peter",HUN,2744,1979
16,"Wang, Hao",CHN,2743,1989
17,"Gelfand, Boris",ISR,2740,1968
18,"Kamsky, Gata",USA,2740,1974
19,"Gashimov, Vugar",AZE,2737,1986
20,"Jakovenko, Dmitry",RUS,2734,1983
21,"Ponomariov, Ruslan",UKR,2733,1983
22,"Andreikin, Dmitry",RUS,2727,1990
23,"Adams, Michael",ENG,2725,1971
24,"Dominguez Perez, Leinier",CUB,2723,1983
25,"Giri, Anish",NED,2722,1994
26,"Tomashevsky, Evgeny",RUS,2722,1987
27,"Volokitin, Andrei",UKR,2722,1986
28,"Areshchenko, Alexander",UKR,2720,1986
29,"Naiditsch, Arkadij",GER,2716,1985
30,"Vachier-Lagrave, Maxime",FRA,2715,1990
31,"Wojtaszek, Radoslaw",POL,2710,1987
32,"Navara, David",CZE,2710,1985
33,"Shirov, Alexei",LAT,2709,1972
34,"Cheparinov, Ivan",BUL,2709,1986
35,"Ding, Liren",CHN,2709,1992
36,"Kasimdzhanov, Rustam",UZB,2709,1979
37,"Malakhov, Vladimir",RUS,2709,1980
38,"Bruzon Batista, Lazaro",CUB,2707,1982
39,"Wang, Yue",CHN,2706,1987
40,"Fressinet, Laurent",FRA,2706,1981
41,"Harikrishna, P.",IND,2705,1986
42,"Le, Quang Liem",VIE,2705,1991
43,"Riazantsev, Alexander",RUS,2705,1985
44,"Bacrot, Etienne",FRA,2704,1983
45,"Akopian, Vladimir",ARM,2704,1971
46,"Moiseenko, Alexander",UKR,2703,1980
47,"Nepomniachtchi, Ian",RUS,2703,1990
48,"Korobov, Anton",UKR,2702,1985
49,"Berkes, Ferenc",HUN,2702,1985
50,"Jobava, Baadur",GEO,2702,1983
51,"McShane, Luke J",ENG,2698,1984
52,"Efimenko, Zahar",UKR,2696,1985
53,"Polgar, Judit",HUN,2696,1976
54,"Movsesian, Sergei",ARM,2695,1978
55,"Alekseev, Evgeny",RUS,2695,1985
56,"Vallejo Pons, Francisco",ESP,2694,1982
57,"Vitiugov, Nikita",RUS,2694,1987
58,"Grachev, Boris",RUS,2693,1986
59,"Short, Nigel D",ENG,2690,1965
60,"Almasi, Zoltan",HUN,2689,1976
61,"Inarkiev, Ernesto",RUS,2688,1985
62,"Rublevsky, Sergei",RUS,2688,1974
63,"Yu, Yangyi",CHN,2688,1994
64,"Li, Chao b",CHN,2686,1989
65,"Van Wely, Loek",NED,2684,1972
66,"So, Wesley",PHI,2684,1993
67,"Sutovsky, Emil",ISR,2684,1977
68,"Gareev, Timur",USA,2682,1988
69,"Bologan, Viktor",MDA,2681,1971
70,"Edouard, Romain",FRA,2680,1990
71,"Eljanov, Pavel",UKR,2678,1983
72,"Sasikiran, Krishnan",IND,2677,1981
73,"Nisipeanu, Liviu-Dieter",ROU,2677,1976
74,"Motylev, Alexander",RUS,2676,1979
75,"Bu, Xiangzhi",CHN,2675,1985
76,"Gyimesi, Zoltan",HUN,2674,1977
77,"Laznicka, Viktor",CZE,2674,1988
78,"Fridman, Daniel",GER,2667,1976
79,"Kryvoruchko, Yuriy",UKR,2666,1986
80,"Sargissian, Gabriel",ARM,2666,1983
81,"Potkin, Vladimir",RUS,2665,1982
82,"Petrosian, Tigran L.",ARM,2663,1984
83,"Onischuk, Alexander",USA,2663,1975
84,"Gharamian, Tigran",FRA,2661,1984
85,"Zvjaginsev, Vadim",RUS,2658,1976
86,"Istratescu, Andrei",FRA,2657,1975
87,"Zhigalko, Sergei",BLR,2656,1989
88,"Nielsen, Peter Heine",DEN,2656,1973
89,"Khismatullin, Denis",RUS,2655,1984
90,"Ragger, Markus",AUT,2655,1988
91,"Smirin, Ilia",ISR,2654,1968
92,"Dreev, Aleksey",RUS,2654,1969
93,"Matlakov, Maxim",RUS,2653,1991
94,"Filippov, Anton",UZB,2652,1986
95,"Kobalia, Mikhail",RUS,2652,1978
96,"Mamedov, Rauf",AZE,2651,1988
97,"Tiviakov, Sergei",NED,2650,1973
98,"Khairullin, Ildar",RUS,2650,1990
99,"Tkachiev, Vladislav",FRA,2650,1973
100,"Kurnosov, Igor",RUS,2649,1985
1,"Carlsen, Magnus",NOR,2872,1990
2,"Kramnik, Vladimir",RUS,2810,1975
3,"Aronian, Levon",ARM,2809,1982
4,"Radjabov, Teimour",AZE,2793,1987
5,"Karjakin, Sergey",RUS,2786,1990
6,"Anand, Viswanathan",IND,2784,1969
7,"Topalov, Veselin",BUL,2771,1975
8,"Nakamura, Hikaru",USA,2767,1987
9,"Mamedyarov, Shakhriyar",AZE,2766,1985
10,"Grischuk, Alexander",RUS,2764,1983
11,"Caruana, Fabiano",ITA,2760,1992
12,"Morozevich, Alexander",RUS,2758,1977
13,"Ivanchuk, Vassily",UKR,2757,1969
14,"Svidler, Peter",RUS,2747,1976
15,"Leko, Peter",HUN,2744,1979
16,"Wang, Hao",CHN,2743,1989
17,"Kamsky, Gata",USA,2741,1974
18,"Gelfand, Boris",ISR,2740,1968
19,"Gashimov, Vugar",AZE,2737,1986
20,"Jakovenko, Dmitry",RUS,2734,1983
21,"Ponomariov, Ruslan",UKR,2733,1983
22,"Giri, Anish",NED,2729,1994
23,"Adams, Michael",ENG,2727,1971
24,"Andreikin, Dmitry",RUS,2727,1990
25,"Volokitin, Andrei",UKR,2725,1986
26,"Dominguez Perez, Leinier",CUB,2723,1983
27,"Vachier-Lagrave, Maxime",FRA,2722,1990
28,"Tomashevsky, Evgeny",RUS,2722,1987
29,"Areshchenko, Alexander",UKR,2720,1986
30,"Vitiugov, Nikita",RUS,2712,1987
31,"Le, Quang Liem",VIE,2709,1991
32,"Kasimdzhanov, Rustam",UZB,2709,1979
33,"Malakhov, Vladimir",RUS,2709,1980
34,"Nepomniachtchi, Ian",RUS,2708,1990
35,"Ding, Liren",CHN,2707,1992
36,"Bruzon Batista, Lazaro",CUB,2707,1982
37,"Navara, David",CZE,2706,1985
38,"Cheparinov, Ivan",BUL,2706,1986
39,"Naiditsch, Arkadij",GER,2706,1985
40,"Fressinet, Laurent",FRA,2706,1981
41,"Wang, Yue",CHN,2706,1987
42,"Bacrot, Etienne",FRA,2705,1983
43,"Harikrishna, P.",IND,2705,1986
44,"Riazantsev, Alexander",RUS,2705,1985
45,"Akopian, Vladimir",ARM,2704,1971
46,"Moiseenko, Alexander",UKR,2703,1980
47,"Berkes, Ferenc",HUN,2702,1985
48,"Jobava, Baadur",GEO,2702,1983
49,"Korobov, Anton",UKR,2702,1985
50,"So, Wesley",PHI,2701,1993
51,"Shirov, Alexei",LAT,2700,1972
52,"Wojtaszek, Radoslaw",POL,2700,1987
53,"McShane, Luke J",ENG,2698,1984
54,"Eljanov, Pavel",UKR,2697,1983
55,"Short, Nigel D",ENG,2697,1965
56,"Efimenko, Zahar",UKR,2697,1985
57,"Yu, Yangyi",CHN,2696,1994
58,"Polgar, Judit",HUN,2696,1976
59,"Alekseev, Evgeny",RUS,2695,1985
60,"Movsesian, Sergei",ARM,2695,1978
61,"Vallejo Pons, Francisco",ESP,2694,1982
62,"Grachev, Boris",RUS,2693,1986
63,"Almasi, Zoltan",HUN,2689,1976
64,"Inarkiev, Ernesto",RUS,2688,1985
65,"Rublevsky, Sergei",RUS,2688,1974
66,"Li, Chao b",CHN,2686,1989
67,"Van Wely, Loek",NED,2684,1972
68,"Bologan, Viktor",MDA,2681,1971
69,"Edouard, Romain",FRA,2680,1990
70,"Nisipeanu, Liviu-Dieter",ROU,2677,1976
71,"Sasikiran, Krishnan",IND,2677,1981
72,"Motylev, Alexander",RUS,2676,1979
73,"Gareev, Timur",USA,2674,1988
74,"Gyimesi, Zoltan",HUN,2674,1977
75,"Laznicka, Viktor",CZE,2674,1988
76,"Sutovsky, Emil",ISR,2671,1977
77,"Kryvoruchko, Yuriy",UKR,2666,1986
78,"Sargissian, Gabriel",ARM,2666,1983
79,"Potkin, Vladimir",RUS,2665,1982
80,"Onischuk, Alexander",USA,2663,1975
81,"Petrosian, Tigran L.",ARM,2663,1984
82,"Bu, Xiangzhi",CHN,2662,1985
83,"Mamedov, Rauf",AZE,2662,1988
84,"Gharamian, Tigran",FRA,2660,1984
85,"Smirin, Ilia",ISR,2659,1968
86,"Fridman, Daniel",GER,2658,1976
87,"Zvjaginsev, Vadim",RUS,2658,1976
88,"Georgiev, Kiril",BUL,2657,1965
89,"Khairullin, Ildar",RUS,2657,1990
90,"Nielsen, Peter Heine",DEN,2656,1973
91,"Zhigalko, Sergei",BLR,2656,1989
92,"Ragger, Markus",AUT,2655,1988
93,"Dreev, Aleksey",RUS,2654,1969
94,"Jones, Gawain C B",ENG,2653,1987
95,"Matlakov, Maxim",RUS,2653,1991
96,"Meier, Georg",GER,2652,1987
97,"Filippov, Anton",UZB,2652,1986
98,"Kobalia, Mikhail",RUS,2652,1978
99,"Istratescu, Andrei",FRA,2651,1975
100,"Iturrizaga, Eduardo",VEN,2650,1989
101,"Gajewski, Grzegorz",POL,2650,1985
102,"Tiviakov, Sergei",NED,2650,1973
1,"Carlsen, Magnus",NOR,2872,1990
2,"Aronian, Levon",ARM,2809,1982
3,"Kramnik, Vladimir",RUS,2801,1975
4,"Radjabov, Teimour",AZE,2793,1987
5,"Karjakin, Sergey",RUS,2786,1990
6,"Anand, Viswanathan",IND,2783,1969
7,"Caruana, Fabiano",ITA,2772,1992
8,"Topalov, Veselin",BUL,2771,1975
9,"Nakamura, Hikaru",USA,2767,1987
10,"Mamedyarov, Shakhriyar",AZE,2766,1985
11,"Grischuk, Alexander",RUS,2764,1983
12,"Morozevich, Alexander",RUS,2758,1977
13,"Ivanchuk, Vassily",UKR,2757,1969
14,"Svidler, Peter",RUS,2747,1976
15,"Leko, Peter",HUN,2744,1979
16,"Wang, Hao",CHN,2743,1989
17,"Kamsky, Gata",USA,2741,1974
18,"Gelfand, Boris",ISR,2739,1968
19,"Jakovenko, Dmitry",RUS,2734,1983
20,"Ponomariov, Ruslan",UKR,2733,1983
21,"Giri, Anish",NED,2727,1994
22,"Adams, Michael",ENG,2727,1971
23,"Andreikin, Dmitry",RUS,2727,1990
24,"Dominguez Perez, Leinier",CUB,2723,1983
25,"Tomashevsky, Evgeny",RUS,2722,1987
26,"Vachier-Lagrave, Maxime",FRA,2722,1990
27,"Le, Quang Liem",VIE,2717,1991
28,"Vitiugov, Nikita",RUS,2712,1987
29,"Kasimdzhanov, Rustam",UZB,2709,1979
30,"Malakhov, Vladimir",RUS,2709,1980
31,"Nepomniachtchi, Ian",RUS,2708,1990
32,"Areshchenko, Alexander",UKR,2707,1986
33,"Bruzon Batista, Lazaro",CUB,2707,1982
34,"Ding, Liren",CHN,2707,1992
35,"Naiditsch, Arkadij",GER,2706,1985
36,"Fressinet, Laurent",FRA,2706,1981
37,"Navara, David",CZE,2706,1985
38,"Wang, Yue",CHN,2706,1987
39,"Bacrot, Etienne",FRA,2705,1983
40,"Harikrishna, P.",IND,2705,1986
41,"Riazantsev, Alexander",RUS,2705,1985
42,"Akopian, Vladimir",ARM,2704,1971
43,"Eljanov, Pavel",UKR,2703,1983
44,"Moiseenko, Alexander",UKR,2703,1980
45,"Volokitin, Andrei",UKR,2702,1986
46,"Cheparinov, Ivan",BUL,2702,1986
47,"Jobava, Baadur",GEO,2702,1983
48,"So, Wesley",PHI,2701,1993
49,"Shirov, Alexei",LAT,2700,1972
50,"Wojtaszek, Radoslaw",POL,2700,1987
51,"Korobov, Anton",UKR,2698,1985
52,"McShane, Luke J",ENG,2698,1984
53,"Efimenko, Zahar",UKR,2697,1985
54,"Short, Nigel D",ENG,2697,1965
55,"Polgar, Judit",HUN,2696,1976
56,"Alekseev, Evgeny",RUS,2695,1985
57,"Movsesian, Sergei",ARM,2695,1978
58,"Vallejo Pons, Francisco",ESP,2694,1982
59,"Grachev, Boris",RUS,2693,1986
60,"Almasi, Zoltan",HUN,2689,1976
61,"Inarkiev, Ernesto",RUS,2688,1985
62,"Rublevsky, Sergei",RUS,2688,1974
63,"Li, Chao b",CHN,2686,1989
64,"Van Wely, Loek",NED,2684,1972
65,"Bologan, Viktor",MDA,2681,1971
66,"Nisipeanu, Liviu-Dieter",ROU,2677,1976
67,"Motylev, Alexander",RUS,2676,1979
68,"Yu, Yangyi",CHN,2675,1994
69,"Berkes, Ferenc",HUN,2674,1985
70,"Gareev, Timur",USA,2674,1988
71,"Gyimesi, Zoltan",HUN,2674,1977
72,"Laznicka, Viktor",CZE,2674,1988
73,"Sutovsky, Emil",ISR,2671,1977
74,"Edouard, Romain",FRA,2670,1990
75,"Kryvoruchko, Yuriy",UKR,2668,1986
76,"Sargissian, Gabriel",ARM,2666,1983
77,"Potkin, Vladimir",RUS,2665,1982
78,"Ragger, Markus",AUT,2663,1988
79,"Gharamian, Tigran",FRA,2663,1984
80,"Sasikiran, Krishnan",IND,2663,1981
81,"Smirin, Ilia",ISR,2663,1968
82,"Onischuk, Alexander",USA,2663,1975
83,"Petrosian, Tigran L.",ARM,2663,1984
84,"Bu, Xiangzhi",CHN,2662,1985
85,"Mamedov, Rauf",AZE,2662,1988
86,"Khairullin, Ildar",RUS,2660,1990
87,"Zvjaginsev, Vadim",RUS,2658,1976
88,"Georgiev, Kiril",BUL,2657,1965
89,"Sjugirov, Sanan",RUS,2657,1993
90,"Zhigalko, Sergei",BLR,2656,1989
91,"Iturrizaga, Eduardo",VEN,2655,1989
92,"Nielsen, Peter Heine",DEN,2654,1973
93,"Rapport, Richard",HUN,2654,1996
94,"Jones, Gawain C B",ENG,2654,1987
95,"Dreev, Aleksey",RUS,2654,1969
96,"Negi, Parimarjan",IND,2653,1993
97,"Ivanisevic, Ivan",SRB,2653,1977
98,"Gajewski, Grzegorz",POL,2653,1985
99,"Matlakov, Maxim",RUS,2653,1991
100,"Fedorchuk, Sergey A.",UKR,2652,1981
101,"Fridman, Daniel",GER,2652,1976
102,"Filippov, Anton",UZB,2652,1986
103,"Kobalia, Mikhail",RUS,2652,1978
104,"Meier, Georg",GER,2652,1987
1,"Carlsen, Magnus",NOR,2868,1990
2,"Aronian, Levon",ARM,2813,1982
3,"Kramnik, Vladimir",RUS,2811,1975
4,"Topalov, Veselin",BUL,2793,1975
5,"Anand, Viswanathan",IND,2783,1969
6,"Grischuk, Alexander",RUS,2779,1983
7,"Nakamura, Hikaru",USA,2775,1987
8,"Caruana, Fabiano",ITA,2774,1992
9,"Svidler, Peter",RUS,2769,1976
10,"Karjakin, Sergey",RUS,2767,1990
11,"Morozevich, Alexander",RUS,2760,1977
12,"Ivanchuk, Vassily",UKR,2755,1969
13,"Mamedyarov, Shakhriyar",AZE,2753,1985
14,"Radjabov, Teimour",AZE,2745,1987
15,"Gelfand, Boris",ISR,2744,1968
16,"Wang, Hao",CHN,2743,1989
17,"Ponomariov, Ruslan",UKR,2742,1983
18,"Kamsky, Gata",USA,2741,1974
19,"Leko, Peter",HUN,2737,1979
20,"Giri, Anish",NED,2734,1994
21,"Jakovenko, Dmitry",RUS,2731,1983
22,"Adams, Michael",ENG,2729,1971
23,"Bacrot, Etienne",FRA,2725,1983
24,"Andreikin, Dmitry",RUS,2724,1990
25,"Dominguez Perez, Leinier",CUB,2723,1983
26,"Tomashevsky, Evgeny",RUS,2719,1987
27,"Vachier-Lagrave, Maxime",FRA,2718,1990
28,"Vitiugov, Nikita",RUS,2718,1987
29,"Le, Quang Liem",VIE,2714,1991
30,"Naiditsch, Arkadij",GER,2710,1985
31,"Malakhov, Vladimir",RUS,2710,1980
32,"Nepomniachtchi, Ian",RUS,2710,1990
33,"Areshchenko, Alexander",UKR,2709,1986
34,"Shirov, Alexei",LAT,2708,1972
35,"Riazantsev, Alexander",RUS,2708,1985
36,"Bruzon Batista, Lazaro",CUB,2707,1982
37,"Ding, Liren",CHN,2707,1992
38,"Wang, Yue",CHN,2706,1987
39,"Akopian, Vladimir",ARM,2705,1971
40,"So, Wesley",PHI,2705,1993
41,"Korobov, Anton",UKR,2705,1985
42,"Harikrishna, P.",IND,2702,1986
43,"Eljanov, Pavel",UKR,2702,1983
44,"Jobava, Baadur",GEO,2702,1983
45,"Wojtaszek, Radoslaw",POL,2701,1987
46,"Alekseev, Evgeny",RUS,2700,1985
47,"Cheparinov, Ivan",BUL,2700,1986
48,"Kasimdzhanov, Rustam",UZB,2699,1979
49,"Moiseenko, Alexander",UKR,2698,1980
50,"Navara, David",CZE,2697,1985
51,"McShane, Luke J",ENG,2697,1984
52,"Polgar, Judit",HUN,2696,1976
53,"Vallejo Pons, Francisco",ESP,2695,1982
54,"Rublevsky, Sergei",RUS,2695,1974
55,"Almasi, Zoltan",HUN,2695,1976
56,"Fressinet, Laurent",FRA,2693,1981
57,"Movsesian, Sergei",ARM,2693,1978
58,"Inarkiev, Ernesto",RUS,2690,1985
59,"Van Wely, Loek",NED,2689,1972
60,"Berkes, Ferenc",HUN,2688,1985
61,"Volokitin, Andrei",UKR,2687,1986
62,"Grachev, Boris",RUS,2687,1986
63,"Li, Chao b",CHN,2686,1989
64,"Short, Nigel D",ENG,2681,1965
65,"Nisipeanu, Liviu-Dieter",ROU,2679,1976
66,"Laznicka, Viktor",CZE,2679,1988
67,"Efimenko, Zahar",UKR,2677,1985
68,"Yu, Yangyi",CHN,2675,1994
69,"Rapport, Richard",HUN,2674,1996
70,"Gareev, Timur",USA,2674,1988
71,"Gyimesi, Zoltan",HUN,2674,1977
72,"Sutovsky, Emil",ISR,2673,1977
73,"Bologan, Viktor",MDA,2672,1971
74,"Sasikiran, Krishnan",IND,2669,1981
75,"Motylev, Alexander",RUS,2669,1979
76,"Sargissian, Gabriel",ARM,2667,1983
77,"Ragger, Markus",AUT,2666,1988
78,"Onischuk, Alexander",USA,2666,1975
79,"Potkin, Vladimir",RUS,2666,1982
80,"Smirin, Ilia",ISR,2663,1968
81,"Bu, Xiangzhi",CHN,2662,1985
82,"Fedorchuk, Sergey A.",UKR,2660,1981
83,"Zhigalko, Sergei",BLR,2660,1989
84,"Edouard, Romain",FRA,2659,1990
85,"Kryvoruchko, Yuriy",UKR,2659,1986
86,"Granda Zuniga, Julio E",PER,2659,1967
87,"Nielsen, Peter Heine",DEN,2658,1973
88,"Georgiev, Kiril",BUL,2657,1965
89,"Gharamian, Tigran",FRA,2657,1984
90,"Khairullin, Ildar",RUS,2657,1990
91,"Meier, Georg",GER,2655,1987
92,"Ivanisevic, Ivan",SRB,2655,1977
93,"Zvjaginsev, Vadim",RUS,2655,1976
94,"Iturrizaga, Eduardo",VEN,2655,1989
95,"Kurnosov, Igor",RUS,2654,1985
96,"Dreev, Aleksey",RUS,2654,1969
97,"Matlakov, Maxim",RUS,2654,1991
98,"Sjugirov, Sanan",RUS,2654,1993
99,"Gajewski, Grzegorz",POL,2653,1985
100,"Khismatullin, Denis",RUS,2653,1984
1,"Carlsen, Magnus",NOR,2864,1990
2,"Aronian, Levon",ARM,2813,1982
3,"Kramnik, Vladimir",RUS,2803,1975
4,"Anand, Viswanathan",IND,2786,1969
5,"Nakamura, Hikaru",USA,2784,1987
6,"Topalov, Veselin",BUL,2784,1975
7,"Karjakin, Sergey",RUS,2782,1990
8,"Grischuk, Alexander",RUS,2779,1983
9,"Caruana, Fabiano",ITA,2774,1992
10,"Morozevich, Alexander",RUS,2760,1977
11,"Svidler, Peter",RUS,2759,1976
12,"Gelfand, Boris",ISR,2755,1968
13,"Ivanchuk, Vassily",UKR,2753,1969
14,"Mamedyarov, Shakhriyar",AZE,2753,1985
15,"Wang, Hao",CHN,2746,1989
16,"Ponomariov, Ruslan",UKR,2743,1983
17,"Kamsky, Gata",USA,2741,1974
18,"Adams, Michael",ENG,2740,1971
19,"Leko, Peter",HUN,2737,1979
20,"Vitiugov, Nikita",RUS,2734,1987
21,"Giri, Anish",NED,2734,1994
22,"Radjabov, Teimour",AZE,2733,1987
23,"Dominguez Perez, Leinier",CUB,2727,1983
24,"Bacrot, Etienne",FRA,2725,1983
25,"Nepomniachtchi, Ian",RUS,2717,1990
26,"Korobov, Anton",UKR,2715,1985
27,"Alekseev, Evgeny",RUS,2714,1985
28,"Jakovenko, Dmitry",RUS,2713,1983
29,"Andreikin, Dmitry",RUS,2713,1990
30,"Le, Quang Liem",VIE,2712,1991
31,"Moiseenko, Alexander",UKR,2711,1980
