rank,ime,drzava,rating,letnik
38,"Graf, Alexander",GER,2649,1962
39,"Peng, Xiaomin",CHN,2648,1973
40,"Jussupow, Artur",GER,2645,1960
41,"Korchnoi, Viktor",SUI,2643,1931
42,"Vaganian, Rafael A",ARM,2641,1951
43,"Almasi, Zoltan",HUN,2640,1976
44,"Andersson, Ulf",SWE,2640,1951
45,"Seirawan, Yasser",USA,2640,1960
46,"Shipov, Sergei",RUS,2640,1966
47,"Kharlov, Andrei",RUS,2639,1968
48,"Beliavsky, Alexander G",SLO,2638,1953
49,"Sakaev, Konstantin",RUS,2637,1974
50,"Crisan, Alexandru",ROM,2635,1962
51,"Sadler, Matthew",ENG,2633,1974
52,"Zhang, Zhong",CHN,2632,1978
53,"Filippov, Valerij",RUS,2632,1975
54,"Dautov, Rustem",GER,2631,1965
55,"Ehlvest, Jaan",EST,2630,1962
56,"Piket, Jeroen",NED,2628,1969
57,"Tregubov, Pavel V.",RUS,2628,1971
58,"Bacrot, Etienne",FRA,2627,1983
59,"Zvjaginsev, Vadim",RUS,2627,1976
60,"Lastin, Alexander",RUS,2627,1976
61,"Rustemov, Alexander",RUS,2625,1973
62,"Malakhov, Vladimir",RUS,2623,1980
63,"Timman, Jan H",NED,2620,1951
64,"Hansen, Curt",DEN,2619,1964
65,"Ftacnik, Lubomir",SVK,2618,1957
66,"Huebner, Robert Dr.",GER,2616,1948
67,"Lutz, Christopher",GER,2614,1971
68,"Baklan, Vladimir",UKR,2613,1978
69,"Smagin, Sergey",RUS,2613,1958
70,"Bauer, Christian",FRA,2612,1977
71,"Vladimirov, Evgeny",KAZ,2612,1957
72,"Sasikiran, Krishnan",IND,2611,1981
73,"Aleksandrov, Aleksej",BLR,2610,1973
74,"Landa, Konstantin",RUS,2610,1972
75,"Khenkin, Igor",GER,2609,1968
76,"Macieja, Bartlomiej",POL,2608,1977
77,"Magomedov, Magaram",RUS,2608,1966
78,"Milos, Gilberto",BRA,2608,1963
79,"Lputian, Smbat G",ARM,2607,1958
80,"Gulko, Boris F",USA,2606,1947
81,"Palac, Mladen",CRO,2605,1971
82,"Milov, Vadim",SUI,2605,1972
83,"Tukmakov, Vladimir B",UKR,2604,1946
84,"Sutovsky, Emil",ISR,2604,1977
85,"Tiviakov, Sergei",NED,2603,1973
86,"Hracek, Zbynek",CZE,2603,1970
87,"Dorfman, Josif D",FRA,2602,1952
88,"Motylev, Alexander",RUS,2601,1979
89,"Marin, Mihail",ROM,2601,1965
90,"Kaidanov, Gregory S",USA,2601,1959
91,"Najer, Evgeniy",RUS,2600,1977
92,"Avrukh, Boris",ISR,2600,1978
93,"Najdoski, Toni",MKD,2600,1970
94,"Sturua, Zurab",GEO,2600,1959
95,"Goldin, Alexander",ISR,2599,1964
96,"Rozentalis, Eduardas",LTU,2597,1963
97,"Nisipeanu, Liviu-Dieter",ROM,2596,1976
98,"Novikov, Igor A",UKR,2596,1962
99,"Kozul, Zdenko",CRO,2595,1966
100,"Shabalov, Alexander",USA,2595,1967
1,"Kasparov, Garry",RUS,2838,1963
2,"Kramnik, Vladimir",RUS,2802,1975
3,"Anand, Viswanathan",IND,2797,1969
4,"Adams, Michael",ENG,2744,1971
5,"Morozevich, Alexander",RUS,2739,1977
6,"Ivanchuk, Vassily",UKR,2731,1969
7,"Leko, Peter",HUN,2730,1979
8,"Bareev, Evgeny",RUS,2719,1966
9,"Gelfand, Boris",ISR,2714,1968
10,"Topalov, Veselin",BUL,2711,1975
11,"Shirov, Alexei",ESP,2706,1972
12,"Kasimdzhanov, Rustam",UZB,2704,1979
13,"Khalifman, Alexander",RUS,2699,1966
14,"Smirin, Ilia",ISR,2702,1968
15,"Van Wely, Loek",NED,2695,1972
16,"Georgiev, Kiril",BUL,2695,1965
17,"Svidler, Peter",RUS,2695,1976
18,"Karpov, Anatoly",RUS,2692,1951
19,"Dreev, Alexey",RUS,2690,1969
20,"Polgar, Judit (GM)</td><td>&nbsp;wg</td><td>&nbsp;HUN</td><td>&nbsp;2686</td><td>&nbsp;13</td><td>&nbsp;1976</td></tr><tr bgcolor=#ffffff><td width=10>&nbsp;21</a></td><td>&nbsp;Ponomariov, Ruslan",UKR,2684,1983
22,"Ye, Jiangchuan",CHN,2677,1960
23,"Lautier, Joel",FRA,2675,1973
24,"Azmaiparashvili, Zurab",GEO,2674,1960
25,"Short, Nigel D.",ENG,2670,1965
26,"Grischuk, Alexander",RUS,2669,1983
27,"Zhang, Zhong",CHN,2667,1978
28,"Onischuk, Alexander",UKR,2667,1975
29,"Akopian, Vladimir",ARM,2660,1971
30,"Beliavsky, Alexander G",SLO,2659,1953
31,"Kharlov, Andrei",RUS,2656,1968
32,"Bologan, Viktor",MDA,2655,1971
33,"Bacrot, Etienne",FRA,2653,1983
34,"Sutovsky, Emil",ISR,2651,1977
35,"Vaganian, Rafael A",ARM,2650,1951
36,"Aleksandrov, Aleksej",BLR,2646,1973
37,"Xu, Jun",CHN,2646,1962
38,"Seirawan, Yasser",USA,2644,1960
39,"Lutz, Christopher",GER,2643,1971
40,"Tkachiev, Vladislav",FRA,2642,1973
41,"Rublevsky, Sergei",RUS,2639,1974
42,"Zvjaginsev, Vadim",RUS,2638,1976
43,"Malakhov, Vladimir",RUS,2637,1980
44,"Gurevich, Mikhail",BEL,2633,1959
45,"Jussupow, Artur",GER,2633,1960
46,"Sadler, Matthew",ENG,2631,1974
47,"Vallejo Pons, Francisco",ESP,2630,1982
48,"Dautov, Rustem",GER,2630,1965
49,"Piket, Jeroen",NED,2630,1969
50,"Almasi, Zoltan",HUN,2630,1976
51,"Sakaev, Konstantin",RUS,2630,1974
52,"Delchev, Aleksander",BUL,2629,1971
53,"Peng, Xiaomin",CHN,2629,1973
54,"Lastin, Alexander",RUS,2628,1976
55,"Motylev, Alexander",RUS,2627,1979
56,"Movsesian, Sergei",CZE,2627,1978
57,"Ehlvest, Jaan",EST,2627,1962
58,"Hansen, Curt",DEN,2626,1964
59,"Shipov, Sergei",RUS,2625,1966
60,"Landa, Konstantin",RUS,2619,1972
61,"Tiviakov, Sergei",NED,2618,1973
62,"Tregubov, Pavel V.",RUS,2617,1971
63,"Filippov, Valerij",RUS,2617,1975
64,"Korchnoi, Viktor",SUI,2617,1931
65,"Milov, Vadim",SUI,2614,1972
66,"Milos, Gilberto",BRA,2614,1963
67,"Pigusov, Evgeny",RUS,2613,1961
68,"Vladimirov, Evgeny",KAZ,2612,1957
69,"Huebner, Robert Dr.",GER,2612,1948
70,"Graf, Alexander",GER,2610,1962
71,"Hracek, Zbynek",CZE,2610,1970
72,"Nisipeanu, Liviu-Dieter",ROM,2609,1976
73,"Lputian, Smbat G",ARM,2608,1958
74,"Magomedov, Magaram",RUS,2608,1966
75,"Chuchelov, Vladimir",BEL,2607,1969
76,"Van Den Doel, Erik",NED,2607,1979
77,"Rustemov, Alexander",RUS,2607,1973
78,"Fressinet, Laurent",FRA,2606,1981
79,"Kaidanov, Gregory S",USA,2605,1959
80,"Sokolov, Andrei",FRA,2604,1963
81,"Tukmakov, Vladimir B",UKR,2604,1946
82,"Luther, Thomas",GER,2604,1969
83,"Asrian, Karen",ARM,2604,1980
84,"Speelman, Jonathan S.",ENG,2603,1956
85,"Degraeve, Jean-Marc",FRA,2602,1971
86,"Gyimesi, Zoltan",HUN,2602,1977
87,"Dorfman, Josif D",FRA,2602,1952
88,"Gulko, Boris F",USA,2602,1947
89,"Andersson, Ulf",SWE,2601,1951
90,"Chernin, Alexander",HUN,2601,1960
91,"Kotsur, Pavel",KAZ,2600,1974
92,"Hickl, Joerg",GER,2600,1965
93,"Najdoski, Toni",MKD,2600,1970
94,"Baklan, Vladimir",UKR,2599,1978
95,"Najer, Evgeniy",RUS,2599,1977
96,"Fedorov, Alexei",BLR,2599,1972
97,"Istratescu, Andrei",ROM,2598,1975
98,"Avrukh, Boris",ISR,2598,1978
99,"Eingorn, Vereslav S",UKR,2598,1956
100,"Adianto, Utut",INA,2598,1965
1,"Kasparov, Garry",RUS,2838,1963
2,"Kramnik, Vladimir",RUS,2809,1975
3,"Anand, Viswanathan",IND,2770,1969
4,"Morozevich, Alexander",RUS,2742,1977
5,"Leko, Peter",HUN,2739,1979
6,"Topalov, Veselin",BUL,2733,1975
7,"Adams, Michael",ENG,2731,1971
8,"Ivanchuk, Vassily",UKR,2731,1969
9,"Bareev, Evgeny",RUS,2719,1966
10,"Van Wely, Loek",NED,2714,1972
11,"Kasimdzhanov, Rustam",UZB,2706,1979
12,"Shirov, Alexei",ESP,2706,1972
13,"Khalifman, Alexander",RUS,2702,1966
14,"Gelfand, Boris",ISR,2701,1968
15,"Smirin, Ilia",ISR,2698,1968
16,"Karpov, Anatoly",RUS,2692,1951
17,"Svidler, Peter",RUS,2686,1976
18,"Georgiev, Kiril",BUL,2686,1965
19,"Polgar, Judit",HUN,2686,1976
20,"Ponomariov, Ruslan",UKR,2684,1983
21,"Ye, Jiangchuan",CHN,2681,1960
22,"Dreev, Alexey",RUS,2676,1969
23,"Short, Nigel D.",ENG,2675,1965
24,"Azmaiparashvili, Zurab",GEO,2674,1960
25,"Bologan, Viktor",MDA,2668,1971
26,"Beliavsky, Alexander G",SLO,2668,1953
27,"Grischuk, Alexander",RUS,2666,1983
28,"Sutovsky, Emil",ISR,2664,1977
29,"Onischuk, Alexander",UKR,2660,1975
30,"Akopian, Vladimir",ARM,2660,1971
31,"Sokolov, Ivan",BIH,2658,1968
32,"Zhang, Zhong",CHN,2657,1978
33,"Kharlov, Andrei",RUS,2656,1968
34,"Xu, Jun",CHN,2654,1962
35,"Lautier, Joel",FRA,2653,1973
36,"Bacrot, Etienne",FRA,2653,1983
37,"Nikolic, Predrag",BIH,2652,1960
38,"Vaganian, Rafael A",ARM,2650,1951
39,"Piket, Jeroen",NED,2649,1969
40,"Aleksandrov, Aleksej",BLR,2645,1973
41,"Seirawan, Yasser",USA,2644,1960
42,"Lutz, Christopher",GER,2643,1971
43,"Motylev, Alexander",RUS,2641,1979
44,"Zvjaginsev, Vadim",RUS,2640,1976
45,"Korchnoi, Viktor",SUI,2639,1931
46,"Sakaev, Konstantin",RUS,2639,1974
47,"Malakhov, Vladimir",RUS,2637,1980
48,"Delchev, Aleksander",BUL,2634,1971
49,"Rublevsky, Sergei",RUS,2634,1974
50,"Jussupow, Artur",GER,2633,1960
51,"Tkachiev, Vladislav",FRA,2632,1973
52,"Movsesian, Sergei",CZE,2631,1978
53,"Sadler, Matthew",ENG,2631,1974
54,"Almasi, Zoltan",HUN,2630,1976
55,"Dautov, Rustem",GER,2630,1965
56,"Vallejo Pons, Francisco",ESP,2630,1982
57,"Lastin, Alexander",RUS,2628,1976
58,"Ehlvest, Jaan",EST,2626,1962
59,"Shipov, Sergei",RUS,2625,1966
60,"Nielsen, Peter Heine",DEN,2620,1973
61,"Landa, Konstantin",RUS,2619,1972
62,"Lputian, Smbat G",ARM,2618,1958
63,"Filippov, Valerij",RUS,2617,1975
64,"Hansen, Curt",DEN,2613,1964
65,"Pigusov, Evgeny",RUS,2613,1961
66,"Goldin, Alexander",USA,2612,1964
